File Name,Class Name,Object Number,Area,Centroid,BoundingBox,Crop File Name,Crop Position,Centroid in Crop,BoundingBox in Crop,Height Invalid,Width Invalid,Overlap,Above,Use
HN7_129.png,Slur,1,2416,"[3344.017, 5145.547]","[3093.735, 5076.489, 3594.298, 5214.605]",HN7_129_1.png,"[3028, 5016, 3649, 5434]","[315.5, 129.0]","[65, 60, 566, 198]",0,0,0,1,1
HN7_129.png,Slur,2,2533,"[3638.041, 3834.19]","[3346.41, 3760.623, 3929.671, 3907.756]",HN7_129_2.png,"[3281, 3705, 3984, 4092]","[356.5, 128.5]","[65, 55, 648, 202]",0,0,0,1,1
HN7_129.png,Slur,3,3579,"[3462.138, 1534.583]","[2884.923, 1427.238, 4039.354, 1641.927]",HN7_129_3.png,"[2819, 1372, 4094, 1796]","[642.5, 162.0]","[65, 55, 1220, 269]",0,0,0,1,1
HN7_129.png,Slur,4,572,"[1568.991, 3558.249]","[1326.711, 3463.611, 1811.271, 3652.886]",HN7_129_4.png,"[1261, 3288, 1866, 3737]","[307.5, 269.5]","[65, 175, 550, 364]",0,0,0,0,0
HN7_129.png,Slur,5,1607,"[2157.076, 3395.502]","[1949.944, 3328.267, 2364.208, 3462.738]",HN7_129_5.png,"[1884, 3273, 2419, 3722]","[272.5, 122.0]","[65, 55, 480, 189]",0,0,0,1,1
HN7_129.png,Slur,6,2154,"[1723.152, 4069.743]","[1478.733, 4025.61, 1967.57, 4113.876]",HN7_129_6.png,"[1413, 3800, 2022, 4168]","[309.5, 269.0]","[65, 225, 554, 313]",0,0,0,0,0
HN7_129.png,Slur,7,1904,"[1010.91, 3644.718]","[794.41, 3593.682, 1227.41, 3695.754]",HN7_129_7.png,"[729, 3323, 1282, 3750]","[281.5, 321.0]","[65, 270, 498, 372]",0,0,0,0,0
HN7_129.png,Slur,8,1208,"[3084.758, 4491.417]","[2983.92, 4443.46, 3185.596, 4539.374]",HN7_129_8.png,"[2918, 4253, 3240, 4594]","[166.0, 238.0]","[65, 190, 267, 286]",0,0,0,0,0
HN7_129.png,Slur,9,1556,"[3289.189, 3600.721]","[3086.738, 3561.957, 3491.64, 3639.485]",HN7_129_9.png,"[3021, 3306, 3546, 3694]","[267.5, 294.0]","[65, 255, 470, 333]",0,0,0,0,0
HN7_129.png,Slur,10,4788,"[1240.216, 1777.553]","[727.581, 1699.124, 1752.851, 1855.982]",HN7_129_10.png,"[662, 1514, 1807, 1910]","[577.5, 263.0]","[65, 185, 1090, 341]",0,0,0,0,0
HN7_129.png,Slur,11,1856,"[1927.298, 808.449]","[1697.568, 753.152, 2157.028, 863.746]",HN7_129_11.png,"[1632, 533, 2212, 918]","[295.0, 275.0]","[65, 220, 525, 330]",0,0,0,0,0
HN7_129.png,Slur,12,1590,"[3873.949, 5103.758]","[3687.118, 5058.945, 4060.779, 5148.572]",HN7_129_12.png,"[3622, 4958, 4115, 5428]","[251.5, 145.0]","[65, 100, 438, 190]",0,0,0,1,1
HN7_129.png,Slur,13,1013,"[912.577, 799.85]","[822.111, 756.007, 1003.043, 843.694]",HN7_129_13.png,"[757, 551, 1058, 898]","[155.5, 248.5]","[65, 205, 246, 292]",0,0,0,0,0
HN7_129.png,Slur,14,852,"[1162.643, 4059.521]","[1053.79, 4016.843, 1271.496, 4102.2]",HN7_129_14.png,"[988, 3806, 1326, 4172]","[174.0, 253.0]","[65, 210, 283, 296]",0,0,0,0,0
HN7_129.png,Slur,15,1354,"[3310.892, 630.844]","[3169.701, 581.468, 3452.082, 680.221]",HN7_129_15.png,"[3104, 511, 3507, 845]","[206.5, 119.5]","[65, 70, 348, 169]",0,0,0,1,1
HN7_129.png,Slur,16,1284,"[1096.891, 4336.276]","[991.907, 4275.076, 1201.875, 4397.477]",HN7_129_16.png,"[926, 4220, 1256, 4552]","[170.0, 116.0]","[65, 55, 275, 177]",0,0,0,1,1
HN7_129.png,Slur,17,1730,"[2724.996, 3371.951]","[2540.536, 3325.087, 2909.456, 3418.816]",HN7_129_17.png,"[2475, 3270, 2964, 3603]","[249.5, 101.5]","[65, 55, 434, 148]",0,0,0,1,1
HN7_129.png,Slur,18,2256,"[3007.188, 3807.559]","[2788.193, 3771.07, 3226.183, 3844.048]",HN7_129_18.png,"[2723, 3716, 3281, 4134]","[284.0, 91.5]","[65, 55, 503, 128]",0,0,0,1,1
HN7_129.png,Slur,19,4038,"[3397.769, 1062.973]","[2955.55, 999.704, 3839.987, 1126.242]",HN7_129_19.png,"[2890, 944, 3894, 1321]","[507.0, 118.5]","[65, 55, 949, 182]",0,0,0,1,1
HN7_129.png,Slur,20,3018,"[3750.271, 2951.664]","[3462.69, 2903.702, 4037.853, 2999.627]",HN7_129_20.png,"[3397, 2848, 4092, 3219]","[352.5, 103.0]","[65, 55, 640, 151]",0,0,0,1,1
HN7_129.png,Slur,21,3069,"[2411.21, 1585.791]","[2072.722, 1540.208, 2749.699, 1631.374]",HN7_129_21.png,"[2007, 1470, 2804, 1826]","[403.5, 115.5]","[65, 70, 742, 161]",0,0,0,1,1
HN7_129.png,Slur,22,5367,"[2465.116, 5180.285]","[1938.44, 5133.298, 2991.792, 5227.272]",HN7_129_22.png,"[1873, 5078, 3046, 5472]","[591.5, 102.0]","[65, 55, 1118, 149]",0,0,0,1,1
